# IntSight report packet log for interface s4-eth3.
[ 246=> 238:21] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 255=> 239:13] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 247=> 239:21] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 256=> 240:13] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0084=>0084(000) bits=00995232=>00995232
[ 248=> 240:21] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0084=>0084(000) bits=00995232=>00995232
[ 257=> 241:13] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 249=> 241:21] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 258=> 242:13] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0084=>0084(000) bits=00995232=>00995232
[ 250=> 242:21] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0084=>0084(000) bits=00995232=>00995232
[ 259=> 243:13] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 251=> 243:21] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 260=> 244:13] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 252=> 244:21] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 261=> 245:13] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 253=> 245:21] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 262=> 246:13] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 254=> 246:21] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 263=> 247:13] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 255=> 247:21] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 264=> 248:13] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 256=> 248:21] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 265=> 249:13] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 257=> 249:21] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
