# IntSight report packet log for interface s5-eth3.
[ 287=> 255: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0112=>0112(000) bits=01326976=>01326976
[ 271=> 255:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 288=> 256: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0111=>0111(000) bits=01315128=>01315128
[ 272=> 256:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 289=> 257: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0111=>0111(000) bits=01315128=>01315128
[ 273=> 257:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 290=> 258: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0111=>0111(000) bits=01315128=>01315128
[ 274=> 258:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 291=> 259: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0110=>0110(000) bits=01303280=>01303280
[ 275=> 259:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 292=> 260: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0111=>0111(000) bits=01315128=>01315128
[ 276=> 260:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0084=>0084(000) bits=00995232=>00995232
[ 293=> 261: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0111=>0111(000) bits=01315128=>01315128
[ 277=> 261:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 294=> 262: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0111=>0111(000) bits=01315128=>01315128
[ 278=> 262:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0084=>0084(000) bits=00995232=>00995232
[ 295=> 263: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0110=>0110(000) bits=01303280=>01303280
[ 279=> 263:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 296=> 264: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0111=>0111(000) bits=01315128=>01315128
[ 280=> 264:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 297=> 265: 5] (1 => 5, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0113=>0113(000) bits=01338824=>01338824
[ 281=> 265:11] (3 => 5, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
